Date,Open,High,Low,Close,Volume,Average,Barcount
2005-07-22,41.96,42.51,41.81,42.46,6452100.0,42.183,5172
2005-07-29,42.46,42.96,42.14,42.81,8823500.0,42.572,5434
2005-08-05,43.08,43.82,42.99,43.6,5625100.0,43.404,4997
2005-08-12,43.52,44.72,43.17,44.5,7036100.0,44.044,6480
2005-08-19,44.25,44.57,43.49,43.6,6938700.0,44.082,6368
2005-08-26,43.84,43.96,43.41,43.61,5347100.0,43.721,3754
2005-09-02,43.81,44.4,42.81,44.25,9417700.0,43.629,6841
2005-09-09,44.42,44.87,44.19,44.87,4394900.0,44.557,4130
2005-09-16,44.68,45.88,44.36,45.82,7954800.0,45.221,7874
2005-09-23,46.27,47.13,45.92,46.25,15169400.0,46.483,13386
2005-09-30,45.84,47.23,45.66,46.71,10327200.0,46.502,9019
2005-10-07,46.62,47.48,46.14,47.42,9194900.0,46.723,9092
2005-10-14,47.31,47.72,46.41,46.78,12280400.0,47.09,12048
2005-10-21,47.26,47.37,45.83,46.52,7938300.0,46.52,8174
2005-10-28,46.39,47.42,46.31,47.21,10652400.0,47.015,9210
2005-11-04,47.02,47.04,45.32,45.51,9361900.0,45.98,9782
2005-11-11,45.67,46.82,45.46,46.8,4836400.0,46.319,6010
2005-11-18,46.56,48.61,46.51,48.44,9006400.0,47.831,11619
2005-11-25,48.69,49.99,47.92,49.55,7313200.0,48.965,8954
2005-12-02,49.3,50.34,49.15,50.3,9595400.0,49.708,13892
2005-12-09,50.43,54.37,50.21,52.33,14496200.0,51.65,16996
2005-12-16,53.09,53.76,49.93,50.15,25455800.0,51.526,26904
2005-12-23,50.58,50.75,48.8,50.2,14825500.0,49.706,15546
2005-12-30,50.65,51.72,50.5,51.66,13468400.0,51.193,11842
2006-01-06,52.29,53.87,52.1,53.71,17607400.0,52.935,18020
2006-01-13,53.46,55.56,51.8,55.49,21064900.0,54.457,23143
2006-01-20,55.25,56.6,54.01,55.19,21064500.0,55.307,23170
2006-01-27,55.59,58.69,55.26,55.68,23080700.0,55.805,22873
2006-02-03,55.97,57.3,55.95,56.49,22489800.0,56.66,25583
2006-02-10,56.76,57.15,54.33,54.79,26692900.0,55.361,28785
2006-02-17,54.64,55.2,53.33,54.99,21995400.0,54.194,25488
2006-02-24,55.14,55.71,54.55,55.68,12379000.0,55.162,13291
2006-03-03,55.26,56.82,55.01,56.29,15504700.0,56.054,18498
2006-03-10,56.41,56.45,50.48,53.83,24356300.0,54.433,32794
2006-03-17,54.09,55.44,53.92,55.1,13913400.0,54.891,18575
2006-03-24,55.01,55.83,54.24,55.7,14582300.0,54.946,15428
2006-03-31,56.18,58.7,55.92,58.21,21316900.0,57.24,26888
2006-04-07,58.62,59.32,57.98,58.63,22659400.0,58.65,24128
